Date,Placement,Wedge Banner Placement,Content Store Banner,Push Notification,LG Social Post (Facebook),LG Social Post (Instagram),LG Social Post (Twitter),Email Newsletter Feature,LG.com Feature,Partner.com Feature,Estimated Weekly Value
4-Jan,Promotional Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"127,050 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"127,050 "
,Promotional Days,--,--,--,--,--,--,--,--,--,--
11-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,--,--,--,--,--,--,--,--
18-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,--,--,--,--,--,--,--,--
25-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,5,--,--,--,--,--,--,--,--
1-Feb,Promotional Value,0 ,"90,750 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"90,750 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"90,750 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"90,750 "
,Promotional Days,--,--,--,--,--,--,--,--,--,--
8-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,7,--,--,--,--,--,--,--,--
15-Feb,Promotional Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"127,050 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"127,050 "
,Promotional Days,--,,--,1,1,1,--,--,--,--
22-Feb,Promotional Value,0 ,0 ,0 ,"1,202 ","1,202 ","3,107 ",0 ,0 ,0 ,"5,510 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"1,202 ","1,202 ","3,107 ",0 ,0 ,0 ,"5,510 "
,Promotional Days,--,4,--,,,,--,--,--,--
1-Mar,Promotional Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,600 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,600 "
,Promotional Days,--,,--,1,,1,--,--,--,--
8-Mar,Promotional Value,0 ,0 ,0 ,"1,202 ",0 ,"3,107 ",0 ,0 ,0 ,"4,309 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"1,202 ",0 ,"3,107 ",0 ,0 ,0 ,"4,309 "
,Promotional Days,--,,--,1,1,2,--,--,--,--
15-Mar,Promotional Value,0 ,0 ,0 ,"1,202 ","1,202 ","6,215 ",0 ,0 ,0 ,"8,618 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"1,202 ","1,202 ","6,215 ",0 ,0 ,0 ,"8,618 "
,Promotional Days,--,1,--,,,1,--,--,--,--
22-Mar,Promotional Value,0 ,"18,150 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"21,257 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"18,150 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"21,257 "
,Promotional Days,--,3,--,,,,--,--,--,--
29-Mar,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"54,450 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"54,450 "
,Promotional Days,--,4,--,,,,--,--,--,--
1-Apr,Promotional Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,600 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,600 "
,Promotional Days,--,2,--,,,,--,--,--,--
5-Apr,Promotional Value,0 ,"36,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"36,300 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"36,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"36,300 "
,Promotional Days,--,,--,,,,--,--,--,--
12-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,1,1,--,--,--,--
19-Apr,Promotional Value,0 ,0 ,0 ,0 ,"1,202 ","3,107 ",0 ,0 ,0 ,"4,309 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"1,202 ","3,107 ",0 ,0 ,0 ,"4,309 "
,Promotional Days,--,,--,,,,--,--,--,--
26-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
1-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,1,--,--,--,--
3-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Promotional Days,--,,--,,1,1,--,--,--,--
10-May,Promotional Value,0 ,0 ,0 ,0 ,"1,202 ","3,107 ",0 ,0 ,0 ,"4,309 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"1,202 ","3,107 ",0 ,0 ,0 ,"4,309 "
,Promotional Days,--,,--,,,,--,--,--,--
17-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
24-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
31-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
1-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,1,--,--,--,--
7-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Promotional Days,--,3,--,,,1,--,--,--,--
14-Jun,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"57,557 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"54,450 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"57,557 "
,Promotional Days,--,,--,,,,--,--,--,--
21-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
28-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,3,--,,,1,--,--,--,--
1-Jul,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"57,557 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"54,450 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"57,557 "
,Promotional Days,--,,--,,,,--,--,--,--
5-Jul,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,--,--,--,--
12-Jul,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,3,--,1,1,2,--,--,--,--
19-Jul,Promotional Value,0 ,"54,450 ",0 ,"1,202 ","1,202 ","6,215 ",0 ,0 ,0 ,"63,068 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"54,450 ",0 ,"1,202 ","1,202 ","6,215 ",0 ,0 ,0 ,"63,068 "
,Promotional Days,--,2,--,,,1,--,--,--,--
26-Jul,Promotional Value,0 ,"36,300 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"39,407 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"36,300 ",0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"39,407 "
,Promotional Days,--,,--,,,,--,--,--,--
1-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,1,1,1,,--,--,--
2-Aug,Promotional Value,0 ,0 ,0 ,"1,202 ","1,202 ","3,107 ",0 ,0 ,0 ,"5,510 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"1,202 ","1,202 ","3,107 ",0 ,0 ,0 ,"5,510 "
,Promotional Days,--,,--,,,,,--,--,--
9-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,1,,--,--,--
16-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Promotional Days,--,,--,,,,,--,--,--
23-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,,--,--,--
30-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,,--,--,--
1-Sep,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,,,--,--,--
6-Sep,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,,--,,,1,,--,--,--
11-Sep,Promotional Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"3,107 ",0 ,0 ,0 ,"3,107 "