Date,Placement,Content Zone Banner (PS4),"Featured Content Strand - ATL, positions 1-4 (PS4)","Featured Content Strand - BTL, positions 5-xx (PS4)","Video Hub - Featured Content Strand - ATL, positions 1-xx (PS5)","Video Hub - Featured Content Strand - BTL, positions xx-xx (PS5)",Social Post (Twitter), Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,PlayStation.com,Estimated Weekly Value
4-Jan,Promotional Value,"25,500 ","500,000 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"625,500 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"25,500 ","500,000 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"625,500 "
,Promotional Days,--,1,7,--,--,--,--,--,--,--,--
11-Jan,Promotional Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"171,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"171,429 "
,Promotional Days,--,1,6,--,--,--,--,--,--,--,--
18-Jan,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Promotional Days,--,3,4,--,--,--,--,--,--,--,--
25-Jan,Promotional Value,0 ,"214,286 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"271,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"214,286 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"271,429 "
,Promotional Days,--,6,7,--,--,--,--,--,--,--,--
1-Feb,Promotional Value,0 ,"428,571 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"528,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"428,571 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"528,571 "
,Promotional Days,--,7,4,--,--,--,--,--,--,--,--
8-Feb,Promotional Value,0 ,"500,000 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"557,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"500,000 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"557,143 "
,Promotional Days,--,1,6,--,--,--,--,--,--,--,--
15-Feb,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Promotional Days,2,4,3,--,--,--,--,--,--,--,--
22-Feb,Promotional Value,"7,286 ","285,714 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"335,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"7,286 ","285,714 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"335,857 "
,Promotional Days,,,7,--,--,--,--,--,--,--,--
1-Mar,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Promotional Days,,1,6,--,--,--,--,--,--,--,--
8-Mar,Promotional Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"157,143 "
,Promotional Days,1,1,7,--,--,--,--,--,--,--,--
15-Mar,Promotional Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,071 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,071 "
,Promotional Days,,4,6,--,--,--,--,--,--,--,--
22-Mar,Promotional Value,0 ,"285,714 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"371,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"285,714 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"371,429 "
,Promotional Days,,,3,--,--,--,--,--,--,--,--
29-Mar,Promotional Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Promotional Days,,,4,--,--,--,--,--,--,--,--
1-Apr,Promotional Value,0 ,0 ,"57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"57,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"57,143 "
,Promotional Days,1,3,6,--,--,--,--,--,--,--,--
5-Apr,Promotional Value,"3,643 ","214,286 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"303,643 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","214,286 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"303,643 "
,Promotional Days,,2,7,--,--,--,--,--,--,--,--
12-Apr,Promotional Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"242,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"242,857 "
,Promotional Days,,1,7,--,--,--,--,--,--,--,--
19-Apr,Promotional Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"171,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"171,429 "
,Promotional Days,,1,5,--,--,--,--,--,--,--,--
26-Apr,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Promotional Days,,,2,--,--,--,--,--,--,--,--
1-May,Promotional Value,0 ,0 ,"28,571 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"28,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"28,571 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"28,571 "
,Promotional Days,,2,7,--,--,--,--,--,--,--,--
3-May,Promotional Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"242,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"242,857 "
,Promotional Days,1,1,7,--,--,--,--,--,--,--,--
10-May,Promotional Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,071 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","71,429 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"175,071 "
,Promotional Days,,4,7,--,--,--,--,--,--,--,--
17-May,Promotional Value,0 ,"285,714 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"385,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"285,714 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"385,714 "
,Promotional Days,,2,6,--,--,--,--,--,--,--,--
24-May,Promotional Value,0 ,"142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"228,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"228,571 "
,Promotional Days,,,1,--,--,--,--,--,--,--,--
31-May,Promotional Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,286 "
,Promotional Days,,1,5,--,--,--,--,--,--,--,--
1-Jun,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Promotional Days,1,1,3,--,--,--,--,--,--,--,--
7-Jun,Promotional Value,"3,643 ","71,429 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"117,929 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","71,429 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"117,929 "
,Promotional Days,1,2,7,--,--,--,--,--,--,--,--
14-Jun,Promotional Value,"3,643 ","142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"246,500 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","142,857 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"246,500 "
,Promotional Days,,,7,--,--,--,--,--,--,--,--
21-Jun,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Promotional Days,,,3,--,--,--,--,--,--,--,--
28-Jun,Promotional Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Promotional Days,,3,4,3,--,--,--,--,--,--,--
1-Jul,Promotional Value,0 ,"214,286 ","57,143 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"314,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"214,286 ","57,143 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"314,286 "
,Promotional Days,4,4,3,3,--,--,--,--,--,--,--
5-Jul,Promotional Value,"14,571 ","285,714 ","42,857 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"386,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"14,571 ","285,714 ","42,857 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"386,000 "
,Promotional Days,1,2,6,,--,--,--,--,--,--,--
12-Jul,Promotional Value,"3,643 ","142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"232,214 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"232,214 "
,Promotional Days,,1,5,,--,--,--,--,--,--,--
19-Jul,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Promotional Days,2,1,5,,--,--,--,--,--,--,--
26-Jul,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Promotional Days,,,1,,--,--,--,--,--,--,--
1-Aug,Promotional Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"14,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"14,286 "
,Promotional Days,4,6,7,,--,--,--,--,--,--,--
2-Aug,Promotional Value,"14,571 ","428,571 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"543,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"14,571 ","428,571 ","100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"543,143 "
,Promotional Days,,2,5,,--,--,--,--,--,--,--
9-Aug,Promotional Value,0 ,"142,857 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"214,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"142,857 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"214,286 "
,Promotional Days,,1,4,,--,--,--,--,--,--,--
16-Aug,Promotional Value,0 ,"71,429 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"128,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","57,143 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"128,571 "
,Promotional Days,,,7,,--,--,--,--,--,--,--
23-Aug,Promotional Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"100,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"100,000 "
,Promotional Days,,,,,--,--,--,--,--,--,--
30-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,--,--,--,--,--,--,--
1-Sep,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,2,1,5,,--,--,--,--,--,--,--
6-Sep,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Promotional Days,2,1,5,,--,--,--,--,--,--,--
13-Sep,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "